CPU Family,CPU,GPU Family,GPU Model,Config,Mode,Precision,Model,Power Limit,Batches per run,REFERENCE
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,resnet152-64,190,50,"209,8"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,resnet50-96,190,50,"617,35"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,vgg16-96,190,50,132
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,alexnet-384,190,50,"10613,8"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,inception3-48,190,50,708
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,inception4-12,190,50,252
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,resnet152-24,190,50,359
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,resnet50-48,190,50,1054
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,vgg16-48,190,50,685
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,alexnet-384,190,50,"3565,85"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,inception3-48,190,50,189
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,inception4-12,190,50,"59,05"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,resnet152-24,190,50,842
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,resnet50-48,190,50,271
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus,Train,FP32,vgg16-48,190,50,-nan
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,alexnet-768,220,50,"13500,5"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,inception3-96,220,50,"1104,47"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,inception4-24,220,50,"666,15"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,resnet152-64,220,50,"1009,23"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,resnet50-96,220,50,"2685,58"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus-inference,Inference,FP16,vgg16-96,220,50,"964,5"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,alexnet-768,220,50,"4824,48"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,inception3-96,220,50,341
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,inception4-24,220,50,146
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,resnet152-64,220,50,211
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,resnet50-96,220,50,"628,75"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp16-1gpus,Train,FP16,vgg16-96,220,50,163
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,alexnet-384,220,50,"11095,3"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,inception3-48,220,50,727
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,inception4-12,220,50,"262,7"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,resnet152-24,220,50,"361,3"
Ryzen 3000,Ryzen 5 3600,GeForce RTX 3070,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,syn-replicated-fp32-1gpus-inference,Inference,FP32,resnet50-48,220,50,"1077,65"
